Gene	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4
FEX_0002288	53.02	52.01	49.65	49.17	28.09	53.82	22.94	19.87
FEX_0002289	6.00	0.00	13.00	9.00	0.00	1.00	2.00	2.00
FEX_0002290	1.00	1.00	0.00	0.00	7.00	3.00	9.00	0.00
FEX_0002291	0.00	0.00	5.00	0.00	0.29	0.00	2.42	0.00
FEX_0002292	3.00	6.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0002293	39.00	19.00	24.00	22.00	23.00	42.00	50.00	12.00
FEX_0002294	15.00	18.00	82.00	34.00	6.00	23.00	18.00	22.00
FEX_0002295	2407.53	1425.56	1061.04	1482.75	1779.99	1824.00	1798.92	1132.42
FEX_0002296	1019.47	1601.44	1140.96	1222.25	510.01	436.00	295.08	130.58
FEX_0002297	660.00	587.00	1168.00	731.00	607.00	706.00	602.00	456.00
FEX_0002298	55.00	47.79	195.60	57.00	92.04	139.00	135.96	86.98
FEX_0002299	2.00	4.82	26.40	10.00	0.00	0.00	2.00	2.00
FEX_0002300	350.21	286.39	706.59	378.60	381.96	340.16	331.04	241.16
FEX_0002301	0.00	4.83	0.00	0.00	0.00	1.91	0.00	0.00
FEX_0002302	5343.08	2971.02	2317.41	3107.35	4481.49	3645.15	6991.50	4937.84
FEX_0002303	214.92	69.15	45.59	72.65	139.51	100.94	184.50	147.19
FEX_0002304	774.00	542.00	502.00	654.00	670.00	689.00	691.00	455.00
FEX_0002305	2.00	0.00	0.00	3.00	0.00	0.00	1.00	1.00
FEX_0002306	3.00	6.00	22.00	25.00	0.00	3.00	5.00	8.00
FEX_0002307	18.00	10.00	6.00	17.00	9.00	4.00	10.00	19.00
FEX_0002308	9.00	0.00	3.00	29.00	5.00	6.00	22.67	4.64
FEX_0002309	46.00	12.00	16.00	20.00	29.00	50.00	36.00	13.00
FEX_0002310	0.00	1.00	0.00	0.00	0.00	0.00	0.00	3.00
FEX_0002311	33.06	12.00	50.27	44.00	9.36	28.87	12.38	16.83
FEX_0002312	0.00	1.00	4.00	6.00	0.00	3.00	1.00	2.00
FEX_0002313	20.00	17.00	51.00	36.00	10.00	30.00	19.00	11.00
FEX_0002314	1073.87	1202.64	902.18	1437.84	2647.52	1888.79	2861.03	3451.17
FEX_0002315	1650.06	1029.89	664.50	921.35	1123.68	943.74	1249.08	597.87
FEX_0002316	1035.04	742.78	617.28	948.97	1140.17	1023.35	947.93	733.60
FEX_0002317	547.90	479.33	411.22	513.69	332.15	485.90	340.99	238.52
FEX_0002318	11.58	9.56	87.37	24.31	19.21	36.56	21.21	32.48
FEX_0002319	16.06	9.25	36.10	21.27	17.19	22.00	18.06	6.53
FEX_0002320	10.35	3.19	16.29	11.42	4.59	5.79	18.73	18.00
FEX_0002321	1.00	6.00	24.00	4.00	1.00	12.00	3.00	2.00
FEX_0002322	0.00	4.00	7.35	7.00	2.00	10.46	3.03	2.00
FEX_0002323	944.07	651.82	397.42	618.71	1442.19	1113.83	1552.30	1772.42
