Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0010210	631.42	396.86	351.76	123.24	160.00	1926.11	69.50	11.40
FEX_0010212	64.00	47.00	59.00	42.00	121.00	60.00	30.00	58.00
FEX_0010213	324.00	746.00	324.00	699.00	809.00	509.00	684.00	387.00
FEX_0010214	46.51	69.14	76.35	55.50	41.04	53.06	47.29	13.47
FEX_0010215	0.00	0.00	0.00	0.00	96.15	0.00	40.18	292.93
FEX_0010216	572.41	686.65	320.55	492.70	2157.68	1116.92	913.76	987.63
FEX_0010217	39.49	97.22	89.59	77.05	94.84	66.01	61.91	74.32
FEX_0010218	1.00	10.00	15.02	3.00	2.00	3.00	3.00	3.31
FEX_0010219	0.00	7.00	2.00	3.00	3.00	1.00	1.00	3.00
FEX_0010220	76.00	114.00	82.00	76.00	175.00	84.13	77.00	179.02
FEX_0010221	1.00	6.00	0.00	0.00	6.02	3.03	5.00	5.14
FEX_0010222	0.87	21.99	17.52	13.86	93.10	0.00	18.53	0.00
FEX_0010223	54.38	53.68	32.52	14.07	0.00	47.19	2.19	18.54
FEX_0010224	27.07	6.67	11.18	14.17	228.76	54.92	68.18	233.10
FEX_0010225	5.00	20.00	20.00	3.00	0.00	4.00	4.00	4.00
FEX_0010226	2.00	5.00	17.00	7.00	7.00	14.00	21.00	1.00
FEX_0010227	0.00	27.65	0.00	0.00	0.00	0.00	0.00	18.33
FEX_0010228	21.00	88.51	48.00	5.00	446.72	889.87	567.70	702.56
FEX_0010229	488.31	625.11	241.83	150.23	1109.84	2479.24	2616.07	1339.47
FEX_0010230	4.00	14.00	6.00	2.00	2.00	14.00	20.00	8.00
FEX_0010231	206.61	280.44	185.14	203.10	1300.13	438.04	443.39	858.94
FEX_0010232	10.00	26.01	33.00	27.00	35.00	21.94	16.00	8.00
FEX_0010233	16.00	32.00	12.00	22.00	25.00	40.06	42.00	20.00
FEX_0010234	5.00	11.00	6.00	10.00	12.00	16.00	20.00	5.00
FEX_0010235	26.00	32.27	31.00	22.00	26.00	42.00	40.00	7.00
FEX_0010236	9.37	24.56	0.00	8.90	34.87	3.96	77.73	1.06
FEX_0010237	2239.86	2715.01	2128.94	991.80	3395.28	3283.20	3786.00	508.27
FEX_0010238	986.47	710.60	875.61	413.64	183.44	295.63	938.92	160.50
FEX_0010239	4.00	18.00	12.00	21.00	0.00	6.00	5.00	0.00
FEX_0010240	7.00	1.00	0.00	2.00	1.00	0.00	0.00	2.00
FEX_0010241	3.00	6.35	9.30	4.00	0.00	0.00	2.11	0.00
FEX_0010242	4.36	2.32	10.08	5.10	0.00	32.26	15.87	8.00
FEX_0010243	0.00	2.00	1.00	1.00	0.00	1.00	1.00	1.00
FEX_0010244	1.00	0.00	0.00	0.00	0.00	2.85	0.00	1.64
FEX_0010246	8.70	19.68	17.68	17.37	49.05	18.43	11.66	20.57
