Gene	OQ1	OQ2	OQ3	OQ4	YQ1	YQ2	YQ3	YQ4
FEX_0002220	2295.00	1820.52	1500.00	2065.74	1790.00	2073.00	1610.00	2255.00
FEX_0002221	499.00	337.00	799.00	490.00	958.00	1052.00	568.00	818.00
FEX_0002222	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
FEX_0002223	0.00	0.00	6.00	2.06	1.00	1.00	0.00	2.00
FEX_0002224	0.00	0.00	3.00	0.94	0.00	0.00	3.00	0.00
FEX_0002225	1.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00
FEX_0002226	269.58	254.00	412.10	286.00	274.00	423.00	235.00	314.00
FEX_0002227	8.00	2.00	11.05	8.00	3.00	11.00	8.00	9.00
FEX_0002228	23.96	6.00	13.98	15.98	0.00	9.00	3.00	19.00
FEX_0002229	74.00	68.53	49.51	87.52	33.89	36.00	25.00	53.63
FEX_0002230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002231	174.00	141.00	99.27	128.00	159.09	306.00	148.00	157.18
FEX_0002233	0.00	2.01	17.61	3.05	0.00	2.02	1.00	6.47
FEX_0002234	12.00	24.00	30.62	18.00	10.00	13.00	30.00	24.56
FEX_0002235	2.00	0.00	8.00	2.00	1.00	0.00	0.00	2.00
FEX_0002236	3.02	2.04	10.74	0.00	1.00	1.00	2.00	3.00
FEX_0002237	2.00	3.00	4.00	3.26	1.00	1.16	0.00	6.00
FEX_0002239	1.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
FEX_0002241	1.00	0.00	13.00	2.00	0.00	0.00	1.00	1.00
FEX_0002242	28.00	13.00	91.94	830.00	0.00	3.00	3.00	15.00
FEX_0002243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0002244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002245	24.00	2.00	34.00	16.00	9.00	15.00	3.00	10.00
FEX_0002247	15.00	10.00	7.00	4.00	10.00	9.00	9.00	9.06
FEX_0002248	5.00	6.99	14.76	14.17	7.25	0.95	2.99	3.05
FEX_0002249	0.00	0.00	2.00	0.00	2.00	0.00	0.00	0.00
FEX_0002251	0.00	0.00	0.00	0.00	0.00	1.73	0.00	1.90
FEX_0002253	5.09	1.70	5.23	1.37	1.10	1.40	1.43	2.93
FEX_0002254	874.96	622.34	167.74	330.48	807.89	1027.99	774.83	966.20
FEX_0002255	0.00	0.00	6.17	2.00	0.00	0.00	1.40	0.00
FEX_0002256	707.76	978.47	2472.90	1965.46	508.38	756.78	450.51	561.25
FEX_0002257	185.06	347.70	920.42	903.62	432.84	696.15	606.80	642.02
FEX_0002258	129.24	176.66	211.21	280.75	180.63	346.04	169.11	298.81
FEX_0002260	268.14	189.79	470.55	295.07	233.79	238.95	178.03	253.70
FEX_0002261	997.93	675.21	440.94	689.40	754.33	836.43	594.43	683.80
FEX_0002262	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002263	6479.07	4602.98	3005.87	3304.34	8019.34	5930.57	3958.57	6519.20
FEX_0002264	1064.00	963.78	483.94	635.65	997.37	1100.40	328.82	897.32
FEX_0002265	1213.22	864.19	604.45	922.01	1298.52	910.08	731.44	893.09
FEX_0002266	396.71	538.51	388.59	458.07	302.14	352.01	272.39	261.56
FEX_0002267	101.07	149.29	141.96	197.91	357.34	199.87	204.16	260.36
FEX_0002268	0.00	0.00	0.00	0.00	42.00	10.28	0.00	0.00
FEX_0002269	34.00	19.00	21.00	27.00	39.00	24.00	22.00	33.00
FEX_0002270	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002271	28.00	3.00	35.00	38.00	4.00	2.00	9.00	11.00
FEX_0002272	4.00	3.00	14.00	7.00	6.00	0.00	3.00	7.00
FEX_0002273	14.00	6.00	21.00	7.00	7.00	9.00	6.00	20.00
FEX_0002274	38.00	13.00	37.00	25.00	19.00	18.00	8.00	29.00
FEX_0002275	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0002276	18.87	16.67	2.00	2.19	0.00	0.00	1.41	7.43
FEX_0002277	12.00	1.00	29.00	3.00	3.00	3.00	1.00	5.04
FEX_0002278	0.00	2.33	1.00	8.81	2.00	0.30	0.59	1.00
FEX_0002279	21.00	5.00	12.00	19.00	1.00	1.00	5.00	9.57
FEX_0002281	11.00	0.00	21.00	16.00	8.00	7.00	8.00	12.00
FEX_0002282	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33
FEX_0002283	0.00	1.00	1.00	3.00	0.00	0.00	4.00	0.67
FEX_0002284	81.46	99.66	455.19	108.70	234.30	287.65	150.42	219.67
FEX_0002285	1054.59	1330.38	943.67	1114.30	1128.46	1273.55	895.41	1357.52
FEX_0002286	1705.43	1936.85	1809.05	1679.58	1727.44	2799.40	1969.28	2854.68
FEX_0002287	29.50	2.11	83.45	24.25	28.99	39.89	16.38	21.29
FEX_0002288	53.02	52.01	49.65	49.17	44.45	61.78	44.51	39.76
FEX_0002289	6.00	0.00	13.00	9.00	3.00	0.00	3.00	2.00
FEX_0002290	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002291	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
FEX_0002292	3.00	6.00	0.00	1.00	14.37	16.73	3.00	14.09
FEX_0002293	39.00	19.00	24.00	22.00	96.00	80.00	32.00	67.00
FEX_0002294	15.00	18.00	82.00	34.00	8.00	9.00	8.00	13.00
FEX_0002295	2407.53	1425.56	1061.04	1482.75	1825.47	1698.59	1314.03	1757.10
FEX_0002296	1019.47	1601.44	1140.96	1222.25	1152.53	992.41	490.97	1258.90
FEX_0002297	660.00	587.00	1168.00	731.00	861.00	1411.00	804.00	1178.00
FEX_0002298	55.00	47.79	195.60	57.00	66.22	168.23	30.43	148.26
FEX_0002299	2.00	4.82	26.40	10.00	3.26	10.77	9.08	4.74
FEX_0002300	350.21	286.39	706.59	378.60	387.71	504.42	332.50	355.34
FEX_0002301	0.00	4.83	0.00	0.00	2.93	0.00	0.00	0.00
FEX_0002302	5343.08	2971.02	2317.41	3107.35	3694.91	3477.71	3205.54	2511.49
FEX_0002303	214.92	69.15	45.59	72.65	76.16	36.30	36.47	50.54
FEX_0002304	774.00	542.00	502.00	654.00	879.00	839.01	542.00	805.03
FEX_0002305	2.00	0.00	0.00	3.00	1.00	1.00	0.00	0.00
FEX_0002306	3.00	6.00	22.00	25.00	11.00	7.00	3.00	3.00
FEX_0002307	18.00	10.00	6.00	17.00	0.00	8.00	1.00	3.00
