Gene	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0008277	2.07	2.10	1.14	4.23	8.13	6.25	8.50	2.11
FEX_0008278	2.10	6.30	3.48	8.21	3.27	14.12	6.08	1.00
FEX_0008280	0.00	1.00	0.00	4.00	1.00	5.00	9.00	0.00
FEX_0008281	1.00	1.00	1.00	4.00	0.00	1.05	0.00	1.00
FEX_0008282	26.00	19.00	15.00	41.34	24.00	46.46	46.00	21.93
FEX_0008283	76.00	99.00	619.00	71.00	182.00	138.00	146.00	226.00
FEX_0008284	0.00	2.60	3.00	1.00	4.05	0.00	0.00	6.96
FEX_0008285	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.06
FEX_0008286	1.00	0.00	4.00	1.00	10.00	1.00	6.00	41.94
FEX_0008287	3197.92	3483.36	1678.82	2249.37	3848.23	4602.16	3199.62	2723.20
FEX_0008288	1.00	2.00	2.00	3.00	11.00	0.00	2.00	7.00
FEX_0008289	811.00	914.00	541.00	1277.00	2197.00	920.00	639.00	429.00
FEX_0008290	515.47	671.21	427.78	610.95	1394.01	1173.43	1066.63	748.71
FEX_0008291	147.18	275.52	111.71	224.42	523.72	316.94	349.27	971.27
FEX_0008292	0.00	3.00	1.00	1.00	1.00	4.00	0.00	0.00
FEX_0008293	11.00	12.00	1.00	8.00	49.00	36.00	23.00	15.08
FEX_0008294	9.00	5.00	5.00	13.00	5.00	10.34	34.52	5.00
FEX_0008295	10.00	2.00	3.00	6.45	2.00	2.00	5.00	1.00
FEX_0008296	0.00	1.00	0.00	2.55	0.00	0.00	3.00	3.00
FEX_0008297	43.62	37.45	45.90	0.00	34.62	22.16	112.03	6.34
FEX_0008298	216.59	271.04	248.25	1.00	171.49	154.64	540.43	64.55
FEX_0008300	217.97	5.03	10.00	13.38	7.00	11.79	246.74	78.83
FEX_0008301	3.03	0.00	2.00	1.00	4.00	4.45	6.23	4.17
FEX_0008302	0.00	1.00	0.00	0.00	0.00	4.00	0.00	0.00
FEX_0008303	1.00	1.00	5.00	11.00	2.00	6.00	6.00	0.00
FEX_0008304	1.03	1.00	2.06	0.00	1.01	7.10	9.16	3.01
FEX_0008305	1.00	6.00	1.00	6.00	0.00	9.00	6.00	0.00
FEX_0008306	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0008307	11.00	5.00	14.00	17.00	9.00	33.00	11.00	6.00
FEX_0008308	1046.15	1240.41	1119.78	1076.59	1573.28	1399.98	1494.63	471.01
FEX_0008309	3.00	6.00	3.00	9.00	1.00	9.00	7.00	5.00
FEX_0008310	1.00	8.00	2.00	4.00	1.00	3.00	4.00	3.00
FEX_0008311	126.85	105.59	190.22	87.41	27.72	184.02	213.37	74.99
FEX_0008313	18.00	46.00	37.00	39.00	93.00	71.00	52.00	101.00
FEX_0008314	9.00	8.00	10.00	33.00	28.00	26.00	28.00	62.00
FEX_0008315	22.00	16.00	10.00	29.00	15.00	26.00	8.00	6.00
FEX_0008316	30.00	34.00	18.00	59.00	46.00	42.00	9.00	11.00
FEX_0008317	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008318	8.00	22.35	10.00	42.75	22.49	29.20	24.00	32.51
FEX_0008320	0.00	0.00	0.00	6.00	0.00	0.00	0.00	1.00
FEX_0008321	13.00	35.00	22.00	19.00	47.00	44.00	30.00	68.00
FEX_0008322	55.24	356.41	55.31	230.62	520.62	212.83	97.24	405.32
FEX_0008323	186.62	344.13	185.19	248.16	695.95	217.29	296.39	508.18
FEX_0008324	1.00	5.00	0.00	0.00	2.00	0.00	0.00	1.00
FEX_0008325	1.00	1.00	17.00	8.13	4.00	4.00	7.00	4.00
FEX_0008326	2.00	0.00	4.00	3.00	0.00	2.00	5.00	0.00
FEX_0008327	3.00	1.00	0.00	0.00	0.00	1.00	2.00	1.00
FEX_0008328	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008330	3.00	1.00	6.00	19.00	2.00	13.00	18.00	1.00
FEX_0008331	216.77	152.64	327.69	149.39	614.51	894.18	252.77	43.68
FEX_0008332	0.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00
FEX_0008333	4.00	2.00	9.00	3.00	1.00	4.00	3.00	3.00
FEX_0008334	3.00	1.00	1.00	0.00	6.00	10.00	1.00	2.00
FEX_0008335	261.04	298.32	149.69	211.36	236.32	327.46	202.45	75.05
FEX_0008336	297.99	371.95	345.00	350.99	573.87	397.99	226.99	312.00
FEX_0008337	783.70	812.18	539.28	619.87	590.68	1063.87	1079.02	93.95
FEX_0008338	3539.00	3622.00	2462.00	3186.00	3392.00	3677.00	3098.00	1440.00
FEX_0008339	120.25	165.39	120.63	193.85	270.29	135.33	145.39	91.23
FEX_0008340	551.32	553.61	632.24	748.15	620.39	725.46	613.81	99.77
FEX_0008341	56.99	172.55	45.67	130.81	375.09	108.00	36.97	140.27
FEX_0008342	63.43	80.45	45.46	21.19	95.22	232.21	93.83	74.73
FEX_0008343	1836.00	1748.00	3457.00	1943.00	1551.00	2414.00	3654.00	416.00
FEX_0008344	37.00	95.00	20.00	91.00	193.00	44.00	52.00	216.00
FEX_0008345	15.00	13.00	6.00	16.00	24.00	5.00	7.00	8.00
FEX_0008346	549.00	764.00	271.00	570.00	1439.00	1327.00	1147.00	1417.00
FEX_0008347	66.00	80.00	83.00	57.00	37.00	78.00	83.00	19.00
FEX_0008348	799.00	714.07	389.91	592.80	608.57	524.43	379.10	210.17
FEX_0008349	106.61	182.48	58.35	113.27	144.65	47.16	40.32	113.63
FEX_0008350	176.00	172.95	94.09	176.28	336.47	146.60	105.93	351.92
FEX_0008351	571.34	813.38	609.60	639.28	563.91	779.08	695.17	307.32
FEX_0008352	152.29	193.67	75.56	167.42	130.75	77.53	64.04	178.29
FEX_0008353	146.39	178.52	123.65	123.73	319.35	211.84	202.68	243.37
FEX_0008354	1871.36	1759.95	2663.84	2204.30	1334.34	2792.39	3422.79	287.39
FEX_0008355	21.93	60.13	28.86	70.11	184.08	121.39	62.84	77.47
FEX_0008356	2.00	1.00	6.00	3.00	2.00	5.00	2.00	10.00
FEX_0008357	1.00	1.00	2.00	1.00	3.00	5.00	7.00	3.00
FEX_0008358	1971.72	5380.23	2246.35	3379.53	7067.00	6281.00	5186.03	3831.99
FEX_0008359	196.28	394.77	212.65	350.47	533.00	209.00	236.97	455.01
FEX_0008360	3.00	4.00	5.00	6.00	1.00	3.00	7.00	4.00
FEX_0008361	28.00	54.88	22.00	34.22	90.44	65.16	68.11	41.39
FEX_0008362	133.00	221.00	159.00	243.00	405.00	257.00	112.00	267.00
FEX_0008363	2278.00	2678.00	1667.00	2639.00	2635.00	1504.00	1555.00	613.00
FEX_0008364	484.00	562.00	301.06	543.10	570.00	495.00	382.08	166.00
FEX_0008365	1600.00	1726.00	1229.00	1538.00	1435.00	1631.00	1253.00	633.00
FEX_0008366	284.10	265.49	245.67	268.86	293.96	374.38	377.17	58.76
FEX_0008367	86.90	184.51	61.33	196.14	412.04	183.62	194.83	219.24
FEX_0008368	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00
FEX_0008369	127.18	166.85	103.71	186.13	206.42	111.95	55.10	95.13
FEX_0008370	2761.23	3854.30	2295.03	2453.20	4762.61	2817.66	3750.95	1303.88
FEX_0008371	669.18	902.45	445.47	787.89	913.26	741.27	485.72	240.72
FEX_0008372	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008373	576.61	869.40	531.22	758.82	1059.00	894.53	745.23	185.89
FEX_0008374	39.80	0.00	8.57	14.96	8.72	42.60	15.99	18.39
FEX_0008375	229.66	192.28	182.24	194.19	294.40	349.59	324.48	204.64
FEX_0008376	1.37	3.62	20.26	17.26	6.89	31.74	13.67	4.73
FEX_0008377	610.00	432.00	319.00	419.00	583.00	1318.11	714.00	480.00
FEX_0008378	321.38	462.87	203.81	306.84	805.05	404.71	252.61	610.82
FEX_0008379	1.00	1.00	2.00	6.00	3.00	2.00	0.00	2.00
FEX_0008381	109.74	187.23	103.00	191.33	466.06	376.45	250.82	307.63
FEX_0008382	7791.73	5082.48	4726.60	3588.81	3456.00	2564.68	2872.96	2213.15
FEX_0008383	705.00	740.00	456.00	668.00	1097.00	783.00	656.06	562.00
FEX_0008384	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.00
FEX_0008385	73.09	103.46	53.22	72.38	141.25	87.67	80.12	43.25
FEX_0008386	1558.53	2555.04	1891.49	2488.78	3881.66	2422.17	1896.16	2711.17
FEX_0008387	2678.49	4230.81	2577.69	3916.81	7358.66	6736.15	3330.99	5947.12
FEX_0008388	3114.00	2683.54	1368.00	1700.00	1625.00	2770.56	2737.00	1112.26
FEX_0008389	288.27	528.52	532.40	943.19	563.00	600.32	659.04	331.85
FEX_0008391	12.00	21.00	11.00	11.00	35.00	13.00	20.00	18.00
FEX_0008392	19.00	17.00	10.00	11.00	33.00	42.00	29.00	33.00
FEX_0008393	19.97	71.63	71.34	77.87	73.74	146.94	168.05	36.69
FEX_0008394	123.00	233.00	204.00	225.00	320.00	281.00	523.00	71.00
FEX_0008395	29.27	27.14	23.00	99.30	277.29	13.39	28.30	546.44
FEX_0008396	716.73	951.86	629.00	800.70	1531.71	1057.61	794.70	524.56
FEX_0008397	1.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008398	8.44	13.00	6.00	7.00	6.00	30.00	23.00	2.00
FEX_0008399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008400	1.00	5.65	1.13	3.00	4.00	8.00	5.00	0.00
FEX_0008401	10.73	35.35	2.87	18.05	11.15	7.99	3.00	14.29
FEX_0008402	1.00	1.00	3.00	2.00	0.00	5.00	0.00	2.00
FEX_0008404	76.00	152.00	93.00	102.00	83.00	151.00	71.00	80.45
FEX_0008405	7.84	5.00	2.00	0.00	0.00	4.89	1.00	0.00
FEX_0008406	4.17	0.00	1.00	2.00	1.00	5.12	1.00	0.00
FEX_0008407	3256.47	2894.27	2556.67	2167.84	1503.19	2502.99	1740.65	1171.00
FEX_0008408	0.00	0.00	0.00	0.00	9.53	0.00	0.00	16.59
FEX_0008409	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008410	3788.66	4191.94	2282.00	3235.70	3241.04	3644.63	3112.87	542.87
FEX_0008411	6.00	29.00	20.00	21.00	62.00	36.00	54.00	28.00
FEX_0008412	55.74	33.62	20.60	43.16	6.40	21.37	3.42	4.27
FEX_0008413	1.00	0.00	1.00	3.00	2.00	4.00	2.00	3.00
FEX_0008414	16.00	21.00	10.00	8.00	9.00	34.00	44.00	4.00
FEX_0008415	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008416	0.00	0.00	0.00	24.13	0.00	0.00	0.00	0.00
FEX_0008417	42.08	39.44	14.64	0.00	22.55	0.00	0.00	21.91
FEX_0008418	0.00	2.01	0.00	1.00	2.00	4.00	2.01	2.00
FEX_0008419	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008420	8.00	8.00	1.00	9.00	5.00	20.00	13.00	6.00
FEX_0008421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008423	115.83	17.18	62.06	18.37	198.27	214.86	208.55	76.11
FEX_0008424	276.16	367.79	252.63	337.00	351.90	455.41	839.13	74.14
FEX_0008425	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008426	692.75	844.71	577.65	922.94	1332.15	1570.31	1762.10	319.86
FEX_0008427	33.84	39.19	34.96	48.97	30.21	59.63	73.36	35.64
FEX_0008428	95.75	206.53	126.74	185.69	563.38	180.86	212.30	107.92
FEX_0008429	936.35	1462.86	824.57	1232.82	1451.80	1129.28	901.15	550.06
FEX_0008430	519.00	716.00	372.00	760.00	771.00	513.00	571.00	476.00
FEX_0008431	0.00	60.22	0.00	0.00	0.00	4.02	0.00	448.36
FEX_0008432	54.00	91.00	58.00	132.00	203.00	136.00	117.00	211.00
FEX_0008433	1.00	1.00	2.00	1.00	3.00	2.00	10.00	0.00
FEX_0008434	1.00	5.00	3.00	4.00	2.00	9.00	14.00	1.00
FEX_0008435	1.00	2.00	0.00	6.00	4.00	6.00	7.00	2.00
FEX_0008436	0.00	2.00	0.00	1.00	0.00	0.00	4.00	1.00
