cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0012949	NA	NA	NA	0	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012950	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	0.05	0	NA	NA	NA	0.92	0	NA	NA	0.09
FEX_0012951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.16	NA	NA	NA	NA	0	NA	0
FEX_0012952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.16	NA	NA	NA	NA	0	NA	0
FEX_0012955	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012961	0	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA
FEX_0012962	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0012963	0.11	0	NA	NA	0	2.11	0.98	2.06	NA	NA	NA	NA	0	0	NA	0.14	0	NA	NA	0
FEX_0012964	0.11	0	NA	NA	0	2.11	0.98	2.06	NA	NA	NA	NA	0	0	NA	0.14	0	NA	NA	0
FEX_0012970	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	0	NA	0	NA	NA	NA
