cluster	color	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0001674	grey	2.81120829320484	3.09467222140889	3.06198806933106	3.42783931260858	3.10593106585207	3.31817802594206	2.79116510781272	2.71204222237175	2.91017438519234	3.13331793650655	3.15572300986293	2.82790516291049	3.48890296208126	3.0521126069901	3.04832472367316	2.74983173511717
FEX_0001676	blue	6.61908605278772	6.57932065404339	5.76772706945444	5.82853376810596	6.54930733563703	6.09051771319114	6.12150548015987	5.60274593047843	5.95230783190679	6.22629948701178	5.84096137370055	6.13506693162267	5.21134235253363	6.2498014819903	5.38614507691356	4.52070102936164
FEX_0001678	darkgrey	0.385262400790645	0.657520002916794	1.7630170003624	1.22082992139236	0.254642218373581	0.86288995514704	0.896088024556636	0.587786664902119	0.553885113226438	0.482426149244293	0.385262400790645	0.425267735404344	0.418710334858185	0.732367893713227	1.12167756159911	1.19392246847243
FEX_0001679	lavenderblush3	0.198850858745165	0.350656871613169	0.157003748809665	0.488580014818671	0.378436435720245	0.378436435720245	0.444685821261446	0.792992515529661	0.246860077931526	0.254642218373581	0.048790164169432	0.0861776962410524	0.336472236621213	0.307484699747961	0.336472236621213	0.157003748809665
FEX_0001683	grey	0.300104592450338	3.64831784235781	2.32336763217657	1.00795792039998	1.53686721959926	0.802001585472027	1.708377860289	0.712949807856125	0.717839793150317	0.553885113226438	0.22314355131421	0.385262400790645	0.215111379616945	0.570979546585738	1.15688119679209	0.810930216216329
FEX_0001684	darkred	0.048790164169432	0.0295588022415444	0.0769610411361284	0.0295588022415444	NA	NA	0.0582689081239758	0.173953307123438	NA	0.0392207131532813	0.048790164169432	NA	0.0198026272961797	0.0198026272961797	0.0198026272961797	0.122217632724249
FEX_0001685	blue	0.0198026272961797	NA	NA	0.19062035960865	NA	NA	0.0198026272961797	0.19062035960865	0.0198026272961797	0.0392207131532813	NA	0.148420005118273	0.0198026272961797	0.0392207131532813	0.113328685307003	0.371563556432483
FEX_0001688	darkmagenta	4.26183444934548	4.427716760591	4.45026922477013	4.17207691076245	3.16758253048065	2.94233149682688	2.35422832614588	1.87793716546911	5.29229929422247	5.4006482976455	4.49300881909976	5.28472541302857	4.74805767353664	4.03370952368475	3.76792166145389	4.59491780952374
FEX_0001689	grey	4.0384794293807	4.12390336446365	3.53046971736629	3.71308414281075	4.26197540360605	4.05056681487621	4.05525717351405	3.74667655284015	4.41570316103327	4.24520411795115	3.89385903480047	4.33716001333377	4.11822383601204	3.94429656597844	3.78464407609832	4.08580823119981
FEX_0001690	grey	0.385262400790645	0.678033542749897	0.678033542749897	0.678033542749897	0.609765571620894	0.165514438477573	0.131028262406404	0.262364264467491	0.173953307123438	0.0861776962410524	0.418710334858185	0.29266961396282	1.04380405217311	0.845868267577609	0.182321556793955	0.425267735404344
