cluster 	color	NQ1	NQ2	NQ3	NQ4	NQ5	NQ6	NW1	NW2	NW3	NW4	NW5	NW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012411	 greenyellow	0.12	1.3	0.25	0.83	0.71	1.39	0.34	0.56	0.4	0.14	0.36	0.18	0.24	0.06	0.08	0.06	0.15	0.33	0.65	0.41
FEX_0012412	 red	0	0.12	0	5.88	NA	2.48	0.64	0.92	0.39	0	0	NA	0.1	0	NA	0	NA	0	NA	0
FEX_0012413	 darkolivegreen	0.16	0	0.48	0	NA	1.62	0	0.05	0	0	0.15	0.57	0.18	0	0.04	0	0.12	1.79	0	0.12
FEX_0012414	 red	0	0.65	0	0.98	0	0.82	0.48	0.26	0.15	NA	0.47	0.05	0.06	0.02	0	0	0	0	0.21	0.18
FEX_0012415	 purple	0.1	0.33	0	0.14	0.27	0.95	0.15	0.27	0.07	0	0.53	0	0.3	0	0.06	0.08	0.04	1	0.36	0.15
FEX_0012416	 darkolivegreen	0.3	0.16	0.07	1.53	0.2	7.4	0.63	0.28	0	0.23	1.19	0.29	0.04	0	0	0.02	0.12	2.75	0	0.35
FEX_0012418	 purple	0	0.48	NA	NA	NA	1.72	0	0	NA	0	0.32	NA	0.15	0	0	NA	0.12	1.31	NA	NA
FEX_0012419	 greenyellow	0	0.48	NA	NA	NA	1.8	0	0	0	0.25	0.32	NA	0.15	0	0	NA	0.12	0	NA	NA
FEX_0012421	 darkolivegreen	0.7	0.04	0.02	0.58	NA	1.66	0	0.65	0.2	0.22	0	0.1	0.03	0.06	0.17	0.15	0.05	0.16	0.11	0.31
FEX_0012422	 red	0	0	0.06	1.21	0.04	0	0.56	0.33	NA	0.56	0.51	0	0.62	0	0.06	0	0.05	0.16	0	0
FEX_0012423	 red	0	0	0.06	1.21	0.04	0	0.56	0.33	NA	0.56	0.51	0	0.62	0	0.06	0	0.05	0.16	0	0
FEX_0012424	 darkred	0.12	NA	0	0.92	0.21	2.14	1.87	0.58	0.16	0.21	0.1	0.2	0.17	0	NA	NA	0.07	0.05	9.32	0.09
FEX_0012425	 blue	0	9.21	0.34	0.04	0	1.35	0.14	3.77	0	0.7	0	0	33.54	14.98	0.07	0	0	0.12	0	0.2
FEX_0012427	 sienna3	1.83	17.41	14.58	0.05	0.22	2.56	7.59	4.29	21.96	29.04	22.17	9.75	8.35	5.62	40.06	9.19	0.19	0.14	0.16	0.25
FEX_0012428	 sienna3	3.19	38.42	23.33	0.07	0.2	3.36	49.35	9.49	50.87	39.73	39.76	13.93	12.75	8.02	100	14.29	0.32	0	0.15	0.23
FEX_0012432	 darkolivegreen	0.08	0	0	NA	NA	2.14	0.5	0	0	NA	NA	0	0.97	0	NA	0	NA	0	0.21	0.38
FEX_0012433	 brown	0	NA	0.34	0.12	NA	1.35	0	0	0	1.23	0	0	16.8	0	0.07	NA	0	0.2	0	0
FEX_0012434	 darkolivegreen	0.1	0.11	0.1	0.16	0.15	1.01	0.46	0.29	0.13	0.33	0.42	0.32	0.46	0.03	0	0.05	0.17	0.06	0.16	0.09
FEX_0012435	 green	0.08	0	0.05	NA	0.22	0.76	1.24	0.2	1.23	NA	0.26	0.44	0.24	0.09	0	0.41	0.12	NA	0.32	0.18
FEX_0012436	 brown	0.32	NA	0	NA	NA	NA	0	30.95	NA	0	0	0	100	0	NA	0	NA	28.61	100	33.33
FEX_0012437	 darkred	22.29	0	0	NA	NA	NA	0	0	NA	0	0.23	25	1.16	25	0	0	NA	28.61	100	0
FEX_0012438	 salmon	1.66	0.33	0.21	0.66	0.11	1.59	0.22	0.56	0.22	0.11	0.33	1.13	0.16	1.31	0.08	0.08	0.25	0.99	0.13	0.24
FEX_0012439	 greenyellow	0.04	2.05	0	NA	0	1.86	0	0	0.05	NA	NA	0.22	0.2	0.05	NA	0.11	0.09	0.35	0	0.21
FEX_0012441	 green	0.18	0	0	0.06	NA	2.08	1.58	0.27	0.09	NA	0	NA	NA	0.19	NA	0	0.11	0.76	0	0.21
FEX_0012444	 black	0	40	25.37	0.72	0	0	40	9.09	NA	0.52	12.29	32.29	0.05	0	0	NA	0	0	0	0
FEX_0012446	 darkolivegreen	33.33	0	1.15	32.5	0	8.79	NA	0	49.86	0	0	NA	NA	NA	33.33	NA	NA	0	NA	3.08
FEX_0012447	 grey	2.63	0.49	0.12	0.18	0.19	1.64	1.65	2.17	0.21	4.72	0.4	4.27	1.94	3.4	0	0.02	0.07	2.93	0.16	0.22
